# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  108       3.973214624255e-10       1.195768212364e-13      -3.820094187049e-12       4.775937582811e-16       8.298141648344e-12       1.191528632860e-12      -6.618137662309e-15 
  109       4.017242969506e-10       1.213439203624e-13      -3.907423022560e-12       4.866598713973e-16       8.096031386283e-12       1.168822753126e-12      -6.564905050537e-15 
  110       4.061492189820e-10       1.230751153641e-13      -3.994218915945e-12       4.958232662620e-16       7.900517129049e-12       1.146796951338e-12      -6.514159747946e-15 
  111       4.105954461077e-10       1.247686281961e-13      -4.080407475706e-12       5.050847069987e-16       7.711376058921e-12       1.125427800359e-12      -6.465168195992e-15 
  112       4.150620602794e-10       1.264226861599e-13      -4.165913630090e-12       5.144449812098e-16       7.528328345098e-12       1.104685546877e-12      -6.417127268430e-15 
  113       4.195480034029e-10       1.280355228965e-13      -4.250661651183e-12       5.239049003257e-16       7.351035470886e-12       1.084533923677e-12      -6.369162547052e-15 
  114       4.240520729276e-10       1.296053793789e-13      -4.334575179010e-12       5.334652999528e-16       7.179098560905e-12       1.064929961908e-12      -6.320326597409e-15 
  115       4.285729174364e-10       1.311305049045e-13      -4.417577245628e-12       5.431270402226e-16       7.012056708273e-12       1.045823803353e-12      -6.269597244550e-15 
  116       4.331092260903e-10       1.326092057078e-13      -4.499591237847e-12       5.528909802043e-16       6.849488034296e-12       1.027169645124e-12      -6.216095309632e-15 
  117       4.376603325204e-10       1.340399953794e-13      -4.580543866631e-12       5.627578968691e-16       6.691330383114e-12       1.008960484706e-12      -6.159771538784e-15 
  118       4.422256764179e-10       1.354214646842e-13      -4.660362605652e-12       5.727285568823e-16       6.537596657686e-12       9.911972663880e-13      -6.100800342679e-15 
  119       4.468046135820e-10       1.367522369758e-13      -4.738974817019e-12       5.828037417749e-16       6.388274819915e-12       9.738780384927e-13      -6.039368022388e-15 
  120       4.513964132238e-10       1.380309696106e-13      -4.816307783673e-12       5.929842480636e-16       6.243327126179e-12       9.569978640774e-13      -5.975672985528e-15 
  121       4.560002552705e-10       1.392563553615e-13      -4.892288741788e-12       6.032708873691e-16       6.102689362854e-12       9.405487316324e-13      -5.909925962402e-15 
  122       4.606152276687e-10       1.404271238310e-13      -4.966844913162e-12       6.136644865358e-16       5.966270081847e-12       9.245194657808e-13      -5.842350222150e-15 
  123       4.652403236884e-10       1.415420428651e-13      -5.039903537620e-12       6.241658877511e-16       5.833949836124e-12       9.088956379775e-13      -5.773181788891e-15 
  124       4.698744392270e-10       1.425999199672e-13      -5.111391905403e-12       6.347759486645e-16       5.705580415234e-12       8.936594772091e-13      -5.702669657869e-15 
  125       4.745163701130e-10       1.435996037113e-13      -5.181237389574e-12       6.454955425067e-16       5.580984080842e-12       8.787897806932e-13      -5.631076011598e-15 
  126       4.791648094098e-10       1.445399851557e-13      -5.249367478404e-12       6.563255582091e-16       5.459952802256e-12       8.642618245777e-13      -5.558676436008e-15 
  127       4.838183447198e-10       1.454199992568e-13      -5.315709807780e-12       6.672669005226e-16       5.342247491956e-12       8.500472746405e-13      -5.485760136589e-15 
  128       4.884754554877e-10       1.462386262826e-13      -5.380192193591e-12       6.783204901374e-16       5.227597241120e-12       8.361140969885e-13      -5.412630154538e-15 
  129       4.931346664043e-10       1.469949336444e-13      -5.442743386564e-12       6.894872365055e-16       5.115757549011e-12       8.224340676697e-13      -5.339559993046e-15 
  130       4.977950323692e-10       1.476882035777e-13      -5.503295361561e-12       7.007679526866e-16       5.006693857150e-12       8.090064226107e-13      -5.266657657374e-15 
  131       5.024557018813e-10       1.483178222045e-13      -5.561781341808e-12       7.121634313424e-16       4.900416798095e-12       7.958366454235e-13      -5.193987038848e-15 
  132       5.071157641451e-10       1.488832420572e-13      -5.618135136177e-12       7.236744711206e-16       4.796924667417e-12       7.829290664747e-13      -5.121610072922e-15 
  133       5.117742474907e-10       1.493839837815e-13      -5.672291176747e-12       7.353018765783e-16       4.696203081361e-12       7.702868279596e-13      -5.049586643409e-15 
  134       5.164301177952e-10       1.498196378386e-13      -5.724184556372e-12       7.470464581064e-16       4.598224634517e-12       7.579118489766e-13      -4.977974486711e-15 
